25000
18677,4515,5749,16860,6499,1610
16860,8052,8013,18677,6713,6499,1610,12278
6713,7259,8519,16860,16206,1610,12278,8788
16206,5723,3508,6713,14837,12278,8788,13396
14837,4079,5074,16206,10598,8788,13396,11774
10598,126,9743,14837,21012,13396,11774,4220
21012,5161,781,10598,18298,11774,4220,19861
18298,631,9593,21012,15120,4220,19861,15055
15120,6986,3921,18298,19948,19861,15055,8988
19948,2480,2540,15120,3995,15055,8988,4885
3995,9984,6024,19948,13801,8988,4885,10815
13801,7915,8980,3995,3683,4885,10815,8242
3683,5034,1309,13801,16644,10815,8242,21358
16644,7233,5898,3683,23521,8242,21358,3926
23521,1717,1154,16644,6025,21358,3926,21796
6025,27,2584,23521,13546,3926,21796,16924
13546,6903,4432,6025,11765,21796,16924,14424
11765,6949,514,13546,10916,16924,14424,24988
10916,2951,2672,11765,4587,14424,24988,10583
4587,4022,3382,10916,24184,24988,10583,5576
24184,7746,4148,4587,4332,10583,5576,16278
4332,3126,9259,24184,15630,5576,16278,17669
15630,1282,109,4332,3709,16278,17669,16355
3709,5204,8268,15630,20797,17669,16355,9823
20797,4031,7684,3709,24709,16355,9823,23322
24709,7161,367,20797,21059,9823,23322,3822
21059,60,5076,24709,12600,23322,3822,12572
12600,9347,1447,21059,5749,3822,12572,11908
5749,2737,6580,12600,23784,12572,11908,8706
23784,7345,806,5749,1633,11908,8706,2572
1633,7734,3724,23784,6880,8706,2572,22513
6880,3390,989,1633,23722,2572,22513,17972
23722,8156,6691,6880,10450,22513,17972,1907
10450,1503,7460,23722,5766,17972,1907,18752
5766,9363,1878,10450,8840,1907,18752,24595
8840,842,3461,5766,13759,18752,24595,4341
13759,2378,320,8840,7407,24595,4341,8991
7407,9072,3660,13759,8017,4341,8991,24874
8017,430,4276,7407,8493,8991,24874,2727
8493,8281,813,8017,14617,24874,2727,19368
14617,8313,1794,8493,10322,2727,19368,7469
10322,1180,8373,14617,16017,19368,7469,303
16017,3222,527,10322,3681,7469,303,2189
3681,9820,5959,16017,15298,303,2189,7858
15298,3459,7165,3681,9697,2189,7858,8818
9697,3118,7546,15298,15282,7858,8818,13350
15282,7242,2860,9697,13177,8818,13350,21838
13177,4887,1750,15282,9433,13350,21838,7481
9433,9552,2743,13177,16584,21838,7481,15188
16584,5562,5267,9433,10513,7481,15188,16851
10513,4621,2757,16584,10120,15188,16851,15123
10120,8729,6999,10513,19362,16851,15123,21158
19362,3077,4153,10120,18789,15123,21158,9285
18789,7012,3507,19362,23691,21158,9285,13136
23691,8430,5293,18789,2755,9285,13136,8004
2755,672,3095,23691,7333,13136,8004,594
7333,7087,1852,2755,21512,8004,594,16112
21512,1468,6661,7333,16008,594,16112,9649
16008,8731,1289,21512,13244,16112,9649,12823
13244,2620,2191,16008,13068,9649,12823,15598
13068,4806,2090,13244,14526,12823,15598,7524
14526,6089,2048,13068,6061,15598,7524,5951
6061,4951,976,14526,9578,7524,5951,9631
9578,3799,855,6061,7870,5951,9631,2302
7870,3719,5713,9578,887,9631,2302,22029
887,6122,4692,7870,19682,2302,22029,6038
19682,8470,1203,887,19498,22029,6038,17813
19498,1692,1548,19682,9935,6038,17813,5980
9935,5357,8704,19498,18169,17813,5980,12066
18169,1407,139,9935,21375,5980,12066,4845
21375,349,2080,18169,21533,12066,4845,10233
21533,3234,3788,21375,15135,4845,10233,21868
15135,3932,4702,21533,7984,10233,21868,4727
7984,449,2664,15135,12671,21868,4727,13286
12671,2343,9421,7984,7886,4727,13286,16066
7886,1207,7150,12671,2362,13286,16066,23643
2362,1512,3648,7886,4497,16066,23643,18177
4497,5550,2815,2362,4932,23643,18177,3076
4932,4624,5701,4497,1695,18177,3076,1887
1695,3670,4696,4932,2508,3076,1887,21288
2508,1415,9792,1695,13622,1887,21288,21703
13622,9388,9885,2508,2730,21288,21703,8711
2730,996,7432,13622,15686,21703,8711,1356
15686,1433,6353,2730,2868,8711,1356,8428
2868,2488,2841,15686,21904,1356,8428,23081
21904,2844,2837,2868,3322,8428,23081,13688
3322,4921,6078,21904,5088,23081,13688,9310
5088,6625,5205,3322,24391,13688,9310,20409
24391,7132,7074,5088,3468,9310,20409,17433
3468,4221,9476,24391,12401,20409,17433,11459
12401,2848,1780,3468,18846,17433,11459,11328
18846,2978,4360,12401,22071,11459,11328,18132
22071,5428,8528,18846,180,11328,18132,3705
180,3527,6405,22071,286,18132,3705,11376
286,582,7197,180,13007,3705,11376,6711
13007,1101,1997,286,21610,11376,6711,12057
21610,6989,6841,13007,18950,6711,12057,5544
18950,8234,4337,21610,6341,12057,5544,11069
6341,4274,6020,18950,19372,5544,11069,5991
19372,7042,6762,6341,11087,11069,5991,15137
11087,8861,9886,19372,14186,5991,15137,12433
14186,5952,134,11087,24792,15137,12433,698
24792,2316,8929,14186,19263,12433,698,11618
19263,1691,9449,24792,12027,698,11618,2569
12027,2356,5913,19263,21442,11618,2569,733
21442,8925,5204,12027,22579,2569,733,418
22579,7693,8255,21442,19640,733,418,23800
19640,5916,3122,22579,8858,418,23800,11595
8858,3135,9443,19640,1171,23800,11595,17052
1171,5879,3717,8858,21976,11595,17052,5378
21976,6640,3332,1171,18358,17052,5378,15152
18358,2066,9981,21976,18281,5378,15152,6394
18281,173,301,18358,24283,15152,6394,10330
24283,671,799,18281,18775,6394,10330,16868
18775,6321,7713,24283,21783,10330,16868,7502
21783,3914,1534,18775,1157,16868,7502,8159
1157,3952,9866,21783,14853,7502,8159,11259
14853,8020,6268,1157,20686,8159,11259,18552
20686,8795,9711,14853,7822,11259,18552,5619
7822,5717,1151,20686,24025,18552,5619,5129
24025,5624,994,7822,22717,5619,5129,24125
22717,6355,9670,24025,10722,5129,24125,4135
10722,5601,2271,22717,15980,24125,4135,18915
15980,9144,8737,10722,2511,4135,18915,8695
2511,8066,5023,15980,1484,18915,8695,21684
1484,2454,4706,2511,23382,8695,21684,11811
23382,8355,4521,1484,5799,21684,11811,24965
5799,1040,4880,23382,7654,11811,24965,21854
7654,4822,1711,5799,4875,24965,21854,967
4875,5680,7495,7654,13015,21854,967,7994
13015,9424,9594,4875,7072,967,7994,22645
7072,9029,3376,13015,3189,7994,22645,13391
3189,9460,7049,7072,14958,22645,13391,22150
14958,5997,4607,3189,4963,13391,22150,3862
4963,6760,8066,14958,24235,22150,3862,13184
24235,2111,8737,4963,13733,3862,13184,22325
13733,9061,8466,24235,545,13184,22325,5248
545,8407,1014,13733,15226,22325,5248,9399
15226,7090,3903,545,19818,5248,9399,24570
19818,9751,5156,15226,6988,9399,24570,20236
6988,8926,2206,19818,5254,24570,20236,14618
5254,6215,3633,6988,24588,20236,14618,15533
24588,3079,7255,5254,10800,14618,15533,10106
10800,8513,4253,24588,2399,15533,10106,2272
2399,8966,4193,10800,6006,10106,2272,6950
6006,1748,4742,2399,20870,2272,6950,13541
20870,3787,777,6006,4139,6950,13541,6232
4139,4471,9599,20870,1922,13541,6232,3033
1922,7826,468,4139,3466,6232,3033,24388
3466,559,938,1922,12523,3033,24388,24972
12523,8534,2670,3466,1671,24388,24972,14667
1671,9675,3947,12523,8793,24972,14667,17795
8793,7488,4434,1671,5502,14667,17795,22870
5502,4962,930,8793,24271,17795,22870,3704
24271,8337,4713,5502,4817,22870,3704,3763
4817,2439,3615,24271,20099,3704,3763,8960
20099,3271,8654,4817,3820,3763,8960,17322
3820,7248,6350,20099,14530,8960,17322,17648
14530,2261,2114,3820,17322,17648
6499,603,7579,18677,16860,1610,16333,9926
1610,6307,8703,18677,16860,6713,6499,12278,16333,9926,7851
12278,2321,6447,16860,6713,16206,1610,8788,9926,7851,8913
8788,9480,6792,6713,16206,14837,12278,13396,7851,8913,13321
13396,2398,3658,16206,14837,10598,8788,11774,8913,13321,24330
11774,7260,9309,14837,10598,21012,13396,4220,13321,24330,5287
4220,4597,2147,10598,21012,18298,11774,19861,24330,5287,14568
19861,1979,624,21012,18298,15120,4220,15055,5287,14568,16940
15055,6094,9468,18298,15120,19948,19861,8988,14568,16940,12282
8988,1411,7408,15120,19948,3995,15055,4885,16940,12282,4973
4885,398,6100,19948,3995,13801,8988,10815,12282,4973,3064
10815,2122,9189,3995,13801,3683,4885,8242,4973,3064,13592
8242,6068,1745,13801,3683,16644,10815,21358,3064,13592,21732
21358,7843,3316,3683,16644,23521,8242,3926,13592,21732,22572
3926,4448,6456,16644,23521,6025,21358,21796,21732,22572,19252
21796,1782,5051,23521,6025,13546,3926,16924,22572,19252,16760
16924,4035,4442,6025,13546,11765,21796,14424,19252,16760,6070
14424,107,6357,13546,11765,10916,16924,24988,16760,6070,15200
24988,7241,9587,11765,10916,4587,14424,10583,6070,15200,13317
10583,3149,9639,10916,4587,24184,24988,5576,15200,13317,8183
5576,9598,6762,4587,24184,4332,10583,16278,13317,8183,1914
16278,8949,547,24184,4332,15630,5576,17669,8183,1914,20641
17669,8909,7280,4332,15630,3709,16278,16355,1914,20641,1849
16355,7523,1355,15630,3709,20797,17669,9823,20641,1849,18033
9823,6748,8934,3709,20797,24709,16355,23322,1849,18033,20207
23322,8764,3499,20797,24709,21059,9823,3822,18033,20207,3366
3822,5035,886,24709,21059,12600,23322,12572,20207,3366,16897
12572,2688,1103,21059,12600,5749,3822,11908,3366,16897,37
11908,8983,6884,12600,5749,23784,12572,8706,16897,37,14054
